happychild,Alameda,37.75848,-122.23346,"Tuesdays, 4:00 PM  to 8:00 PM",Central Ave & Fountian St
happychild,Alameda Weekly Delivery Waitlist,0,0,"Tuesdays,",Central Ave & Fountian St
happychild,Albany - Solano Cellars,37.891006,-122.28554,"Thursdays, 3:30 PM  to 9:00 PM",1580 Solano Ave.
happychild,Belmont,37.51489,-122.30704,"Tuesdays, 3:00 PM  to 8:00 PM",Monserat Ave and Dekoven Ave
happychild,Berkeley Farmers Market - Saturday,37.868057,-122.28524,"Saturdays, 10:00 AM  to 3:00 PM","Center Street @ M. L. King, Jr. Way"
happychild,Berkeley Farmers Market - Thursday,37.882023,-122.26957,"Thursdays, 3:00 PM  to 7:00 PM",Shattuck Avenue @ Rose Street
happychild,Berkeley Farmers Market - Tuesday,37.84776,-122.27192,"Tuesdays, 2:00 PM  to 6:30 PM",Adeline Street and 63rd Street
happychild,"Berkeley, North Berkeley",37.88747,-122.271126,"Thursdays, 3:00 PM  to 7:00 PM",Mariposa Ave. near the circle
happychild,Burlingame,37.584873,-122.37702,"Wednesdays, 4:00 PM  to 8:00 PM",Bernal Ave & Adeline Ave
happychild,California Department of Public Health - PRIVATE,37.920307,-122.346054,"Tuesdays,",850 Marina Bay Pkwy
happychild,Campbell,37.266373,-121.95902,"Wednesdays, 3:00 PM  to 8:00 PM",Chapman Dr & Winchester Blvd
happychild,Clif Bar - Private,37.833824,-122.286736,"Tuesdays,",1451 66th Emeryville CA.
happychild,Concord,37.943214,-122.01554,"Tuesdays, 3:00 PM  to 8:00 PM",Chugach Pl & Citrus Ave
happychild,Danville,0,0,"Tuesdays,",
happychild,Fisher Scientific -PRIVATE,37.643906,-121.88412,"Wednesdays, 11:00 AM  to 8:00 PM",Sunol Blvd at Sycamore Rd
happychild,Fremont,37.55323,-122.00004,"Wednesdays, 3:00 PM  to 8:00 PM",Mattos Dr & Fremont Blvd
happychild,Fremont Weekly Delivery Waitlist,0,0,"Wednesdays, 3:00 PM  to 8:00 PM",Mattos Dr & Fremont Blvd
happychild,Frog Hollow Farm,37.90756,-121.6496,"Thursdays, 8:00 AM  to 4:00 PM",925-634-2845 ext 206
happychild,Golestan School - SCHOOL FAMILIES ONLY,37.869827,-122.29981,"Tuesdays, 3:00 PM  to 5:00 PM",1808 5th Street
happychild,Holy Rosary School - SCHOOL FAMILIES ONLY,38.00719,-121.80533,"Tuesdays,",E. 15th St & A St
happychild,Lafayette - Our Savior's Lutheran Church,37.892593,-122.10306,"Tuesdays,",Carol Ln @ Mt Diablo Blvd
happychild,Larkspur Landing Trading Post and Post Office,37.948135,-122.508736,"Tuesdays, 3:00 PM  to 6:00 PM","Marin Country Mart Trading Post and Post Office @ 2003 Larkspur Landing Circle,"
happychild,LinkedIn - MTV PRIVATE,37.423935,-122.07085,"Wednesdays, 3:00 PM  to 6:00 PM",Mountain View
happychild,LinkedIn - MTV PRIVATE Weekly Delivery Waitlist,0,0,"Wednesdays, 3:00 PM  to 8:00 PM",Mountain View
happychild,LinkedIn - S.F. PRIVATE,0,0,"Tuesdays,",San Franciso
happychild,LinkedIn - Sunnyvale PRIVATE,0,0,"Wednesdays, 3:00 PM  to 6:00 PM",Sunnyvale
happychild,Los Altos,37.36177,-122.07924,"Wednesdays, 3:00 PM  to 8:00 PM",Volti Ln at Altamead Dr
happychild,Los Gatos-Downtown,37.223885,-121.968994,"Wednesdays, 3:00 PM  to 8:00 PM",Wheeler Ave & Whitney Ave
happychild,Menlo Park,37.45424,-122.16131,"Wednesdays, 3:00 PM  to 8:00 PM",Woodland Ave & Middlefield Rd
happychild,Menlo Park #2,37.452404,-122.16961,"Wednesdays, 3:00 PM  to 8:00 PM",Linfield Pl & Linfield Dr
happychild,Menlo Park - West,37.434563,-122.211235,"Wednesdays, 3:00 PM  to 8:00 PM",Camino a Los Cerros & Alameda De Las Pulgas
happychild,Montessori de Terra Linda,38.013954,-122.55872,"Tuesdays, 1:00 PM  to 3:30 PM",Del Ganado Road at Manuel T Freitas Pkwy
happychild,Mountain View #2,37.39088,-122.07575,"Wednesdays, 3:00 PM  to 8:00 PM",West Dana St & Bust St
happychild,Mountain View-Cuesta Park,37.377907,-122.07923,"Wednesdays, 3:00 PM  to 8:00 PM",Nilda Ave & Barbara Ave
happychild,Mulberry School - SCHOOL FAMILIES ONLY,37.232944,-121.91843,"Wednesdays, 2:00 AM",Belvue Drive and Westhill Drive
happychild,Oakland Garden School - SCHOOL FAMILIES ONLY,37.791824,-122.19059,"Tuesdays, 4:00 PM  to 6:00 PM",Maybelle Ave and Bayo St
happychild,Oakland-Rockridge,37.843,-122.24885,"Tuesdays, 3:00 PM  to 8:00 PM",College Ave & Broadway
happychild,Oakland-Upper Rockridge,37.83551,-122.22651,"Tuesdays, 3:00 PM  to 8:00 PM",Harbord Dr & Clarewood Dr
happychild,One Kings Lane - PRIVATE,37.776775,-122.416794,"Tuesdays, to 7:00 PM",Market St and 10th St
